scenario,slot,resource_type,contexts,sub_shot_mean_aggregate,sub_shot_mean_lower,sub_shot_mean_upper,sub_shot_mean_median,sub_shot_mean_q25,sub_shot_mean_q75,sub_cost_mean_aggregate,sub_cost_mean_lower,sub_cost_mean_upper,sub_cost_mean_median,sub_cost_mean_q25,sub_cost_mean_q75,rho_sub_mean_aggregate,rho_sub_mean_lower,rho_sub_mean_upper,rho_sub_mean_median,rho_sub_mean_q25,rho_sub_mean_q75,episode_cost_delta_mean_aggregate,episode_cost_delta_mean_lower,episode_cost_delta_mean_upper,episode_cost_delta_mean_median,episode_cost_delta_mean_q25,episode_cost_delta_mean_q75,cost_sign_masked_rate_aggregate,cost_sign_masked_rate_lower,cost_sign_masked_rate_upper,cost_sign_masked_rate_median,cost_sign_masked_rate_q25,cost_sign_masked_rate_q75
heterogeneity_pressure,resource,laser,9,0.8211226361907191,0.6318741046896451,1.010371167691793,1.0,0.70298857614398,1.0,0.23807956997512114,0.19791492961626925,0.278244210333973,0.25,0.2421875,0.2500000074505806,0.9523182799004846,0.791659718465077,1.112976841335892,1.0,0.96875,1.0000000298023224,0.011920434164090287,-0.02824420591819755,0.05208507424637812,0.0,0.0,0.0078125,0.8229166666666666,0.6383179323580768,1.0075154009752565,1.0,0.65625,1.0
heterogeneity_pressure,resource,missile,9,0.931451848656353,0.8141501594731206,1.0487535378395854,0.9897019006311893,0.96875,0.9999999552965164,2.5127530028965945,2.1666153938220916,2.8588906119710975,2.7930674336850645,2.6703124999999996,2.7999998331069946,0.9487119610245196,0.8625449743155044,1.0348789477335347,0.9975240834589515,0.9902882558526471,0.9999999403953552,0.02387889601652406,-0.016039751487429654,0.06379754352047777,0.0025745173916220665,0.0,0.008348577586002642,0.90625,0.8319322115469281,0.9805677884530719,0.96875,0.875,0.96875
heterogeneity_pressure,safety,laser,9,0.6953225721501641,0.44599507590728416,0.9446500683930441,0.90625,0.3775979280471802,0.96875,0.22178004373175403,0.16055520966310866,0.2830048778003994,0.2421875,0.20312499394640326,0.2500000074505806,0.8871201749270161,0.6422208386524346,1.1320195112015976,0.96875,0.8124999757856131,1.0000000298023224,0.02821995378471911,-0.03300488107936496,0.08944478864880318,0.0078125,0.0,0.04687499860301614,0.6840277777777778,0.4268984336449124,0.9411571219106432,0.90625,0.28125,0.96875
heterogeneity_pressure,safety,missile,9,0.8953145221910543,0.7831865207079433,1.0074425236741655,0.9220089493319392,0.8937441958114505,1.0000000894069672,1.9439386511376746,1.5122632939697194,2.37561400830563,1.6258036301936953,1.455105745187029,2.5916586271487168,0.8834635442804061,0.7779694318794195,0.9889576566813927,0.9255923668388274,0.7890511407749725,0.9934595445104473,0.2776280777735842,0.011146703056711837,0.5441094524904566,0.1476338672451675,0.018313317093998194,0.4319291684776545,0.8263888888888888,0.7252742722295725,0.9275035055482052,0.78125,0.6875,0.96875
medium,resource,laser,9,0.4649066954023308,0.1932601556372201,0.7365532351674415,0.3446025252342224,0.1403752863407135,1.0,0.36282179649505353,0.249527610295604,0.47611598269450306,0.4375,0.2573546916246414,0.5,0.7256435929901071,0.499055220591208,0.9522319653890061,0.875,0.5147093832492828,1.0,0.13717820516063106,0.02388401953232855,0.2504723907889336,0.0625,0.0,0.24264530837535858,0.53125,0.27078742071396644,0.7917125792860336,0.5625,0.21875,1.0
medium,resource,missile,9,0.622711192143874,0.4079363758385129,0.8374860084492353,0.5536699593067169,0.44879350159317255,0.9063582345843315,1.2004461547411565,0.7475572425991802,1.6533350668831326,0.9965460281819105,0.75,1.9345114335883409,0.6002230773705782,0.3737786212995901,0.8266675334415663,0.49827301409095526,0.375,0.9672557167941704,0.46415233787977034,0.11650718739590277,0.8117974883636379,0.46875,0.0,1.0034539718180895,0.7083333333333334,0.5511780392502725,0.8654886274163942,0.6875,0.5625,0.9375
medium,safety,laser,10,0.5004469131119549,-0.041668572916342184,1.042562399140252,0.9375,0.390146131394431,0.9843749552965164,0.13500735727138818,-0.5001029729121953,0.7701176874549716,0.46875,0.42029866157099605,0.5000000037252903,0.27001471454277637,-1.0002059458243906,1.5402353749099431,0.9375,0.8405973231419921,1.0000000074505806,0.36499264421872796,-0.270117682646647,1.000102971084103,0.03125,0.0,0.07970134960487485,0.725,0.5103238226744498,0.9396761773255502,0.9375,0.46875,0.984375
medium,safety,missile,8,0.3651942738215439,-0.19486329629016075,0.9252518439332486,0.6443677791394293,0.156699979910627,0.8235623273067176,0.7856531382421963,-0.07453099241841166,1.6458372689028042,1.1589313965523615,0.5239925573114306,1.555069652502425,0.39282656912109815,-0.03726549620920583,0.8229186344514021,0.5794656982761808,0.2619962786557153,0.7775348262512125,1.2117374577210285,0.35475721674032856,2.0687176987017284,0.8410685289418325,0.444930347497575,1.4707886942196637,0.55078125,0.36201825117193914,0.7395442488280608,0.59375,0.4609375,0.7578125
time_pressure,resource,laser,9,0.7260679305634565,0.4973572552387299,0.9547786058881831,0.8154739215970039,0.53125,0.96875,0.5875525245339506,0.3737360643112202,0.801368984756681,0.53125,0.484375,0.875,1.1751050490679011,0.7474721286224404,1.602737969513362,1.0625,0.96875,1.75,-0.08755252287826604,-0.3013689812789416,0.1262639355224095,-0.03125,-0.375,0.015625,0.6597222222222222,0.4541707841065531,0.8652736603378913,0.71875,0.46875,0.90625
time_pressure,resource,missile,9,0.3733797626983788,0.13336406009811946,0.6133954652986382,0.5,0.0,0.6426547095179558,0.8481482047484152,0.2772394787447289,1.4190569307521015,1.0,0.0,1.8213272653520107,0.4240741023742076,0.13861973937236444,0.7095284653760507,0.5,0.0,0.9106636326760054,0.8587962668389082,0.3776678572528018,1.3399246764250146,1.0,0.04701031371951103,1.25,0.5173611111111112,0.25787838768291055,0.7768438345393118,0.46875,0.3125,0.96875
time_pressure,safety,laser,10,0.5868065125774592,0.22330897516216136,0.9503040499927571,0.9999999403953552,0.3132369691738859,0.9999999701976776,0.22250072387978434,-0.08751623692753172,0.5325176846871004,0.4999999701976776,0.27659620495978743,0.4999999850988388,0.4450014477595687,-0.17503247385506343,1.0650353693742007,0.9999999403953552,0.5531924099195749,0.9999999701976776,0.27749926866963504,-0.03251769326950932,0.5875162306087793,0.0,0.0,0.22340381366666406,0.70625,0.4461958389745193,0.9663041610254808,1.0,0.5,1.0
time_pressure,safety,missile,8,0.17239519453141838,-0.17002743395802172,0.5148178230208584,0.19432063261047006,-0.2309084376320243,0.5616027142386883,0.45917855273000896,-0.1300813502803566,1.0484384557403745,0.4062295127660036,-0.19525029743090272,1.1232054284773767,0.22958927636500448,-0.0650406751401783,0.5242192278701873,0.2031147563830018,-0.09762514871545136,0.5616027142386883,1.5173839174676687,0.9421534878027932,2.0926143471325442,1.5937704276293516,0.8767945715226233,2.1015003258362412,0.40234375,0.18289214078042176,0.6217953592195782,0.390625,0.1171875,0.609375
