accuracy,balanced_accuracy,candidate_family,check_balanced_accuracy,check_engage_recall,check_noop_recall,check_scenario_engage_recall,check_scenario_noop_recall,count,dual_weight,engage_count,engage_recall,false_noop_rate,family,feasible,logit_scale,minimum_scenario_recall,model_seed,noop_count,noop_recall,passed_constraint_count,threshold,wasteful_engage_rate
0.3783783783783784,0.5,global_threshold,False,True,False,True,False,37,0.0,14,1.0,0.0,global_threshold,False,0.09489185785899348,0.0,20,23,0.0,2,-0.15420322282409668,1.0
0.40540540540540543,0.5217391304347826,global_threshold,False,True,False,True,False,37,0.0,14,1.0,0.0,global_threshold,False,0.09489185785899348,0.0,20,23,0.043478260869565216,2,-0.14759977906942368,0.9565217391304348
0.43243243243243246,0.5434782608695652,global_threshold,False,True,False,True,False,37,0.0,14,1.0,0.0,global_threshold,False,0.09489185785899348,0.0,20,23,0.08695652173913043,2,-0.12477516382932663,0.9130434782608695
0.4594594594594595,0.5652173913043478,global_threshold,False,True,False,True,False,37,0.0,14,1.0,0.0,global_threshold,False,0.09489185785899348,0.0,20,23,0.13043478260869565,2,-0.10740940645337105,0.8695652173913043
0.4864864864864865,0.5869565217391304,global_threshold,False,True,False,True,False,37,0.0,14,1.0,0.0,global_threshold,False,0.09489185785899348,0.0,20,23,0.17391304347826086,2,-0.10457004234194756,0.8260869565217391
0.5135135135135135,0.6086956521739131,global_threshold,False,True,False,True,False,37,0.0,14,1.0,0.0,global_threshold,False,0.09489185785899348,0.0,20,23,0.21739130434782608,2,-0.10039875656366348,0.782608695652174
0.5405405405405406,0.6304347826086957,global_threshold,False,True,False,True,False,37,0.0,14,1.0,0.0,global_threshold,False,0.09489185785899348,0.0,20,23,0.2608695652173913,2,-0.09389892965555191,0.7391304347826086
0.5675675675675675,0.6521739130434783,global_threshold,False,True,False,True,False,37,0.0,14,1.0,0.0,global_threshold,False,0.09489185785899348,0.0,20,23,0.30434782608695654,2,-0.08699958771467209,0.6956521739130435
0.5405405405405406,0.6164596273291926,global_threshold,False,True,False,True,False,37,0.0,14,0.9285714285714286,0.07142857142857142,global_threshold,False,0.09489185785899348,0.0,20,23,0.30434782608695654,2,-0.07702159509062767,0.6956521739130435
0.5675675675675675,0.6381987577639752,global_threshold,False,True,False,True,False,37,0.0,14,0.9285714285714286,0.07142857142857142,global_threshold,False,0.09489185785899348,0.0,20,23,0.34782608695652173,2,-0.06894497573375702,0.6521739130434783
0.5945945945945946,0.6599378881987578,global_threshold,False,True,False,True,False,37,0.0,14,0.9285714285714286,0.07142857142857142,global_threshold,False,0.09489185785899348,0.0,20,23,0.391304347826087,2,-0.06389601714909077,0.6086956521739131
0.6216216216216216,0.6816770186335404,global_threshold,False,True,False,True,False,37,0.0,14,0.9285714285714286,0.07142857142857142,global_threshold,False,0.09489185785899348,0.0,20,23,0.43478260869565216,2,-0.04807394929230213,0.5652173913043478
0.6486486486486487,0.7034161490683231,global_threshold,True,True,False,True,False,37,0.0,14,0.9285714285714286,0.07142857142857142,global_threshold,False,0.09489185785899348,0.0,20,23,0.4782608695652174,3,-0.023049291223287582,0.5217391304347826
0.6216216216216216,0.6677018633540373,global_threshold,False,True,False,False,False,37,0.0,14,0.8571428571428571,0.14285714285714285,global_threshold,False,0.09489185785899348,0.0,20,23,0.4782608695652174,1,-0.004965737462043762,0.5217391304347826
0.6486486486486487,0.6894409937888198,global_threshold,False,True,False,False,False,37,0.0,14,0.8571428571428571,0.14285714285714285,global_threshold,False,0.09489185785899348,0.0,20,23,0.5217391304347826,1,0.0028720758855342865,0.4782608695652174
0.6216216216216216,0.6537267080745341,global_threshold,False,True,False,False,False,37,0.0,14,0.7857142857142857,0.21428571428571427,global_threshold,False,0.09489185785899348,0.0,20,23,0.5217391304347826,1,0.010708052664995193,0.4782608695652174
0.6486486486486487,0.6754658385093167,global_threshold,False,True,False,False,False,37,0.0,14,0.7857142857142857,0.21428571428571427,global_threshold,False,0.09489185785899348,0.0,20,23,0.5652173913043478,1,0.016531195491552353,0.43478260869565216
0.6756756756756757,0.6972049689440993,global_threshold,False,True,False,False,False,37,0.0,14,0.7857142857142857,0.21428571428571427,global_threshold,False,0.09489185785899348,0.0,20,23,0.6086956521739131,1,0.018967613577842712,0.391304347826087
0.7027027027027027,0.718944099378882,global_threshold,True,True,True,False,False,37,0.0,14,0.7857142857142857,0.21428571428571427,global_threshold,False,0.09489185785899348,0.3333333333333333,20,23,0.6521739130434783,3,0.02112632244825363,0.34782608695652173
0.7297297297297297,0.7406832298136645,global_threshold,True,True,True,False,False,37,0.0,14,0.7857142857142857,0.21428571428571427,global_threshold,False,0.09489185785899348,0.3333333333333333,20,23,0.6956521739130435,3,0.023281335830688477,0.30434782608695654
0.7027027027027027,0.7049689440993789,global_threshold,True,True,True,False,False,37,0.0,14,0.7142857142857143,0.2857142857142857,global_threshold,False,0.09489185785899348,0.3333333333333333,20,23,0.6956521739130435,3,0.030219051986932755,0.30434782608695654
0.6756756756756757,0.6692546583850931,global_threshold,False,True,True,False,False,37,0.0,14,0.6428571428571429,0.35714285714285715,global_threshold,False,0.09489185785899348,0.3333333333333333,20,23,0.6956521739130435,2,0.04219362139701843,0.30434782608695654
0.6486486486486487,0.6335403726708074,global_threshold,False,False,True,False,False,37,0.0,14,0.5714285714285714,0.42857142857142855,global_threshold,False,0.09489185785899348,0.3333333333333333,20,23,0.6956521739130435,1,0.048881273716688156,0.30434782608695654
0.6756756756756757,0.65527950310559,global_threshold,False,False,True,False,False,37,0.0,14,0.5714285714285714,0.42857142857142855,global_threshold,False,0.09489185785899348,0.3333333333333333,20,23,0.7391304347826086,1,0.05789480730891228,0.2608695652173913
0.7027027027027027,0.6770186335403727,global_threshold,False,False,True,False,True,37,0.0,14,0.5714285714285714,0.42857142857142855,global_threshold,False,0.09489185785899348,0.5,20,23,0.782608695652174,2,0.06803835555911064,0.21739130434782608
0.7297297297297297,0.6987577639751552,global_threshold,False,False,True,False,True,37,0.0,14,0.5714285714285714,0.42857142857142855,global_threshold,False,0.09489185785899348,0.5,20,23,0.8260869565217391,2,0.07169190421700478,0.17391304347826086
0.7027027027027027,0.6630434782608696,global_threshold,False,False,True,False,True,37,0.0,14,0.5,0.5,global_threshold,False,0.09489185785899348,0.5,20,23,0.8260869565217391,2,0.07733916118741035,0.17391304347826086
0.6756756756756757,0.6273291925465838,global_threshold,False,False,True,False,True,37,0.0,14,0.42857142857142855,0.5714285714285714,global_threshold,False,0.09489185785899348,0.25,20,23,0.8260869565217391,2,0.08249351754784584,0.17391304347826086
0.7027027027027027,0.6490683229813664,global_threshold,False,False,True,False,True,37,0.0,14,0.42857142857142855,0.5714285714285714,global_threshold,False,0.09489185785899348,0.25,20,23,0.8695652173913043,2,0.08623992651700974,0.13043478260869565
0.6756756756756757,0.6133540372670807,global_threshold,False,False,True,False,True,37,0.0,14,0.35714285714285715,0.6428571428571429,global_threshold,False,0.09489185785899348,0.25,20,23,0.8695652173913043,2,0.09050214290618896,0.13043478260869565
0.6486486486486487,0.577639751552795,global_threshold,False,False,True,False,True,37,0.0,14,0.2857142857142857,0.7142857142857143,global_threshold,False,0.09489185785899348,0.25,20,23,0.8695652173913043,2,0.09645101800560951,0.13043478260869565
0.6216216216216216,0.5419254658385093,global_threshold,False,False,True,False,True,37,0.0,14,0.21428571428571427,0.7857142857142857,global_threshold,False,0.09489185785899348,0.16666666666666666,20,23,0.8695652173913043,2,0.10583764687180519,0.13043478260869565
0.5945945945945946,0.5062111801242236,global_threshold,False,False,True,False,True,37,0.0,14,0.14285714285714285,0.8571428571428571,global_threshold,False,0.09489185785899348,0.0,20,23,0.8695652173913043,2,0.12552176415920258,0.13043478260869565
0.6216216216216216,0.5279503105590062,global_threshold,False,False,True,False,True,37,0.0,14,0.14285714285714285,0.8571428571428571,global_threshold,False,0.09489185785899348,0.0,20,23,0.9130434782608695,2,0.1434008851647377,0.08695652173913043
0.6486486486486487,0.5496894409937888,global_threshold,False,False,True,False,True,37,0.0,14,0.14285714285714285,0.8571428571428571,global_threshold,False,0.09489185785899348,0.0,20,23,0.9565217391304348,2,0.15575549751520157,0.043478260869565216
0.6756756756756757,0.5714285714285714,global_threshold,False,False,True,False,True,37,0.0,14,0.14285714285714285,0.8571428571428571,global_threshold,False,0.09489185785899348,0.0,20,23,1.0,2,0.1797330677509308,0.0
0.6486486486486487,0.5357142857142857,global_threshold,False,False,True,False,True,37,0.0,14,0.07142857142857142,0.9285714285714286,global_threshold,False,0.09489185785899348,0.0,20,23,1.0,2,0.2096058949828148,0.0
0.6216216216216216,0.5,global_threshold,False,False,True,False,True,37,0.0,14,0.0,1.0,global_threshold,False,0.09489185785899348,0.0,20,23,1.0,2,0.22391496760940552,0.0
0.3783783783783784,0.5,resource_dual,False,True,False,True,False,37,0.25,14,1.0,0.0,resource_dual,False,0.09489185785899348,0.0,20,23,0.0,2,-0.18583384022509603,1.0
0.40540540540540543,0.5217391304347826,resource_dual,False,True,False,True,False,37,0.25,14,1.0,0.0,resource_dual,False,0.09489185785899348,0.0,20,23,0.043478260869565216,2,-0.17923039647042302,0.9565217391304348
0.43243243243243246,0.5434782608695652,resource_dual,False,True,False,True,False,37,0.25,14,1.0,0.0,resource_dual,False,0.09489185785899348,0.0,20,23,0.08695652173913043,2,-0.16035960911245034,0.9130434782608695
0.4594594594594595,0.5652173913043478,resource_dual,False,True,False,True,False,37,0.25,14,1.0,0.0,resource_dual,False,0.09489185785899348,0.0,20,23,0.13043478260869565,2,-0.14299385173649476,0.8695652173913043
0.4864864864864865,0.5869565217391304,resource_dual,False,True,False,True,False,37,0.25,14,1.0,0.0,resource_dual,False,0.09489185785899348,0.0,20,23,0.17391304347826086,2,-0.13767898006767915,0.8260869565217391
0.5135135135135135,0.6086956521739131,resource_dual,False,True,False,True,False,37,0.25,14,1.0,0.0,resource_dual,False,0.09489185785899348,0.0,20,23,0.21739130434782608,2,-0.13075850218133597,0.782608695652174
0.5405405405405406,0.6304347826086957,resource_dual,False,True,False,True,False,37,0.25,14,1.0,0.0,resource_dual,False,0.09489185785899348,0.0,20,23,0.2608695652173913,2,-0.11882652848036668,0.7391304347826086
0.5675675675675675,0.6521739130434783,resource_dual,False,True,False,True,False,37,0.25,14,1.0,0.0,resource_dual,False,0.09489185785899348,0.0,20,23,0.30434782608695654,2,-0.11055358717279964,0.6956521739130435
