method,method_type,train_scenario,eval_scenario,metric,n_runs,mean,std,ci_low,ci_high
role_conditioned_ar_ppo_order_012,learning,medium,medium,actionable_engagement_rate,5,0.3492609351432881,0.4806580310876102,0.0,0.9460767077922805
role_conditioned_ar_ppo_order_012,learning,medium,medium,all_noop_episode_rate,5,0.6,0.5477225575051662,0.0,1.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,assignment_conflict_rate,5,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_ammo_used,5,6.34,8.682050449058679,0.0,17.120189473185008
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_decision_time_ms,5,2.6720483626251244,0.32055308556970535,2.27402913676009,3.0700675884901587
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_invalid_actions,5,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_resource_cost,5,6.7700000000000005,9.270355980219962,0.0,18.280667271172117
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_reward,5,-84.0846592647088,11.182178642238469,-97.96916790625939,-70.20015062315822
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_shots,5,6.34,8.682050449058679,0.0,17.120189473185008
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_steps,5,45.64,1.3813037319865595,43.924884885407785,47.355115114592216
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_total_damage,5,2.1757585381179867,0.3669122304277351,1.7201768310952235,2.6313402451407497
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_zone_weighted_damage,5,2.1757585381179867,0.366912230427735,1.7201768310952235,2.6313402451407497
role_conditioned_ar_ppo_order_012,learning,medium,medium,damage_reduction_per_ammo,5,0.026135110005956984,0.036359154661971343,0.0,0.07128096335484944
role_conditioned_ar_ppo_order_012,learning,medium,medium,engagement_rate,5,0.047311838725345376,0.06483907139808712,0.0,0.1278201793573137
role_conditioned_ar_ppo_order_012,learning,medium,medium,high_threat_leak_rate,5,0.6141441102756893,0.0748913881709588,0.5211541698083063,0.7071340507430722
role_conditioned_ar_ppo_order_012,learning,medium,medium,hit_rate_per_shot,5,0.036632165605095544,0.0506897464588322,0.0,0.09957179886110434
role_conditioned_ar_ppo_order_012,learning,medium,medium,intercept_rate,5,0.11600000000000002,0.16024980499208105,0.0,0.3149764135778413
role_conditioned_ar_ppo_order_012,learning,medium,medium,leak_rate,5,0.6279999999999999,0.11009087155618306,0.49130412825781233,0.7646958717421874
role_conditioned_ar_ppo_order_012,learning,medium,medium,overkill_rate,5,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,success_rate,5,0.02,0.044721359549995794,0.0,0.07552890210395598
