accuracy,balanced_accuracy,cost_weight,count,cvar_alpha,cvar_weight,damage_weight,engage_count,engage_recall,false_noop_rate,high_threat_leak_weight,noop_count,noop_recall,selection_score,wasteful_engage_rate
0.0,nan,1.5,3,0.25,0.25,40.0,0,nan,nan,0.0,3,0.0,-1.0,1.0
0.0,nan,1.5,3,0.25,0.5,40.0,0,nan,nan,0.0,3,0.0,-1.0,1.0
0.3333333333333333,nan,1.5,3,0.25,0.0,40.0,0,nan,nan,10.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.3333333333333333,nan,1.5,3,0.25,0.25,40.0,0,nan,nan,10.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.0,nan,1.5,3,0.25,0.5,40.0,0,nan,nan,10.0,3,0.0,-1.0,1.0
0.6666666666666666,nan,1.5,3,0.25,0.0,40.0,0,nan,nan,20.0,3,0.6666666666666666,-1.0,0.3333333333333333
0.6666666666666666,nan,1.5,3,0.25,0.25,40.0,0,nan,nan,20.0,3,0.6666666666666666,-1.0,0.3333333333333333
0.3333333333333333,nan,1.5,3,0.25,0.5,40.0,0,nan,nan,20.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.3333333333333333,nan,2.0,3,0.25,0.0,20.0,0,nan,nan,0.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.0,nan,2.0,3,0.25,0.25,20.0,0,nan,nan,0.0,3,0.0,-1.0,1.0
0.0,nan,2.0,3,0.25,0.5,20.0,0,nan,nan,0.0,3,0.0,-1.0,1.0
0.3333333333333333,nan,2.0,3,0.25,0.0,20.0,0,nan,nan,10.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.3333333333333333,nan,2.0,3,0.25,0.25,20.0,0,nan,nan,10.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.0,nan,2.0,3,0.25,0.5,20.0,0,nan,nan,10.0,3,0.0,-1.0,1.0
0.6666666666666666,nan,2.0,3,0.25,0.0,20.0,0,nan,nan,20.0,3,0.6666666666666666,-1.0,0.3333333333333333
0.6666666666666666,nan,2.0,3,0.25,0.25,20.0,0,nan,nan,20.0,3,0.6666666666666666,-1.0,0.3333333333333333
0.3333333333333333,nan,2.0,3,0.25,0.5,20.0,0,nan,nan,20.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.3333333333333333,nan,2.0,3,0.25,0.0,30.0,0,nan,nan,0.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.0,nan,2.0,3,0.25,0.25,30.0,0,nan,nan,0.0,3,0.0,-1.0,1.0
0.0,nan,2.0,3,0.25,0.5,30.0,0,nan,nan,0.0,3,0.0,-1.0,1.0
0.3333333333333333,nan,2.0,3,0.25,0.0,30.0,0,nan,nan,10.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.3333333333333333,nan,2.0,3,0.25,0.25,30.0,0,nan,nan,10.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.0,nan,2.0,3,0.25,0.5,30.0,0,nan,nan,10.0,3,0.0,-1.0,1.0
0.6666666666666666,nan,2.0,3,0.25,0.0,30.0,0,nan,nan,20.0,3,0.6666666666666666,-1.0,0.3333333333333333
0.6666666666666666,nan,2.0,3,0.25,0.25,30.0,0,nan,nan,20.0,3,0.6666666666666666,-1.0,0.3333333333333333
0.3333333333333333,nan,2.0,3,0.25,0.5,30.0,0,nan,nan,20.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.3333333333333333,nan,2.0,3,0.25,0.0,40.0,0,nan,nan,0.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.0,nan,2.0,3,0.25,0.25,40.0,0,nan,nan,0.0,3,0.0,-1.0,1.0
0.0,nan,2.0,3,0.25,0.5,40.0,0,nan,nan,0.0,3,0.0,-1.0,1.0
0.3333333333333333,nan,2.0,3,0.25,0.0,40.0,0,nan,nan,10.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.3333333333333333,nan,2.0,3,0.25,0.25,40.0,0,nan,nan,10.0,3,0.3333333333333333,-1.0,0.6666666666666666
0.0,nan,2.0,3,0.25,0.5,40.0,0,nan,nan,10.0,3,0.0,-1.0,1.0
0.6666666666666666,nan,2.0,3,0.25,0.0,40.0,0,nan,nan,20.0,3,0.6666666666666666,-1.0,0.3333333333333333
0.6666666666666666,nan,2.0,3,0.25,0.25,40.0,0,nan,nan,20.0,3,0.6666666666666666,-1.0,0.3333333333333333
0.3333333333333333,nan,2.0,3,0.25,0.5,40.0,0,nan,nan,20.0,3,0.3333333333333333,-1.0,0.6666666666666666
