context_id,scenario,policy_seed,slot,repeat,target_index,target_probability,current_step_identity,intervention_unique,opportunity_not_observable,restored_ammo,expected_ammo_gain
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,12,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,13,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,14,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,15,4,1.0,True,True,True,0,0
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,16,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,17,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,18,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,19,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,20,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,21,4,1.0,True,True,True,0,0
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,22,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,23,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,24,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,25,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,26,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,27,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,28,4,1.0,True,True,True,0,0
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,29,4,1.0,True,True,True,0,0
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,30,4,1.0,True,True,False,1,1
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,31,4,1.0,True,True,True,0,0
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,0,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,0,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,1,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,1,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,2,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,2,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,3,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,3,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,4,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,4,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,5,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,5,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,6,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,6,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,7,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,7,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,8,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,8,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,9,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,9,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,10,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,10,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,11,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,11,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,12,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,12,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,13,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,13,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,14,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,14,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,15,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,15,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,16,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,16,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,17,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,17,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,18,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,18,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,19,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,19,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,20,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,20,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,21,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,21,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,22,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,22,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,23,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,23,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,24,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,24,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,25,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,25,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,26,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,26,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,27,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,27,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,28,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,28,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,29,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,29,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,30,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,30,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,31,3,0.4997093379497528,True,True,False,1,1
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,31,4,0.5002906322479248,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,0,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,1,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,2,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,3,3,1.0,True,True,True,0,0
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,4,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,5,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,6,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,7,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,8,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,9,3,1.0,True,True,True,0,0
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,10,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,11,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,12,3,1.0,True,True,True,0,0
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,13,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,14,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,15,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,16,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,17,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,18,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,19,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,20,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,21,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,22,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,23,3,1.0,True,True,True,0,0
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,24,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,25,3,1.0,True,True,False,1,1
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,26,3,1.0,True,True,False,1,1
