context_id,scenario,policy_seed,slot,repeat,unit_index,unit_type,unit_cost,observable_target_probability,future_total_shots_n,future_total_shots_e,future_probed_shots_n,future_probed_shots_e,future_other_shots_n,future_other_shots_e,sub_shot,sub_cost,future_cost_composition_advantage,immediate_cost_difference,total_cost_difference,decomposition_residual,reuse_probe,reuse_total,option_edge,option_threat,ammo_gain_damage,ammo_gain_leaks,first_substitution_time_expected,extra_transitions,actual_extra_transitions
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,14,2,laser,0.5,0.5002899169921875,1.0,0.5002899169921875,1.0,0.5002899169921875,0.0,0.0,0.4997100830078125,0.24985504150390625,0.24985504150390625,0.5000000149011612,0.25014497339725494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.001159727573395,11
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,15,2,laser,0.5,1.0000000298023224,1.0,1.0000000298023224,1.0,1.0000000298023224,0.0,0.0,-2.9802322387695312e-08,-1.4901161193847656e-08,-1.4901161193847656e-08,0.5000000149011612,0.5000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,16,2,laser,0.5,1.0000000298023224,1.0,1.0000000298023224,1.0,1.0000000298023224,0.0,0.0,-2.9802322387695312e-08,-1.4901161193847656e-08,-1.4901161193847656e-08,0.5000000149011612,0.5000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,17,2,laser,0.5,1.0000000298023224,1.0,1.0000000298023224,1.0,1.0000000298023224,0.0,0.0,-2.9802322387695312e-08,-1.4901161193847656e-08,-1.4901161193847656e-08,0.5000000149011612,0.5000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,18,2,laser,0.5,1.0000000298023224,1.0,1.0000000298023224,1.0,1.0000000298023224,0.0,0.0,-2.9802322387695312e-08,-1.4901161193847656e-08,-1.4901161193847656e-08,0.5000000149011612,0.5000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,19,2,laser,0.5,1.0000000298023224,1.0,1.0000000298023224,1.0,1.0000000298023224,0.0,0.0,-2.9802322387695312e-08,-1.4901161193847656e-08,-1.4901161193847656e-08,0.5000000149011612,0.5000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,20,2,laser,0.5,1.0000000298023224,2.0,2.0000000596046448,2.0,2.0000000596046448,0.0,0.0,-5.960464477539063e-08,-2.9802322387695312e-08,-2.9802322387695312e-08,0.5000000149011612,0.5000000447034836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,21,2,laser,0.5,1.0000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,22,2,laser,0.5,1.0000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,23,2,laser,0.5,1.0000000298023224,1.0,1.0000000298023224,1.0,1.0000000298023224,0.0,0.0,-2.9802322387695312e-08,-1.4901161193847656e-08,-1.4901161193847656e-08,0.5000000149011612,0.5000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0000001192092896,10
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,24,2,laser,0.5,1.0000000298023224,2.0,2.0000000596046448,2.0,2.0000000596046448,0.0,0.0,-5.960464477539063e-08,-2.9802322387695312e-08,-2.9802322387695312e-08,0.5000000149011612,0.5000000447034836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,25,2,laser,0.5,1.0000000298023224,2.0,2.0000000596046448,2.0,2.0000000596046448,0.0,0.0,-5.960464477539063e-08,-2.9802322387695312e-08,-2.9802322387695312e-08,0.5000000149011612,0.5000000447034836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,26,2,laser,0.5,1.0000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,27,2,laser,0.5,1.0000000298023224,2.0,2.0000000596046448,2.0,2.0000000596046448,0.0,0.0,-5.960464477539063e-08,-2.9802322387695312e-08,-2.9802322387695312e-08,0.5000000149011612,0.5000000447034836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,28,2,laser,0.5,1.0000000298023224,2.0,2.0000000596046448,2.0,2.0000000596046448,0.0,0.0,-5.960464477539063e-08,-2.9802322387695312e-08,-2.9802322387695312e-08,0.5000000149011612,0.5000000447034836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,29,2,laser,0.5,1.0000000298023224,1.0,1.0000000298023224,1.0,1.0000000298023224,0.0,0.0,-2.9802322387695312e-08,-1.4901161193847656e-08,-1.4901161193847656e-08,0.5000000149011612,0.5000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,30,2,laser,0.5,1.0000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.000000178813934,15
